call_id,transcript_type,call_outcome,audience_segment,contact_duration_seconds,rep_performance_score,discovery_quality,transcript_length,handoff_detected,language_register_score,language_register_label,responsive_flow_score,responsive_flow_label,information_pacing_score,information_pacing_label,contextual_anchoring_score,contextual_anchoring_label,conversational_ownership_score,conversational_ownership_label,composite_score,composite_label,composite_summary
0392d0d5-abba-4390-933d-54ca4908d81d,full_team_sell,lost,k12_parent,1568,6,9,18170,False,4,mostly_natural,5,natural,3,mixed,4,mostly_natural,4,mostly_natural,8.0,mostly_natural,"Agent delivers mostly natural, responsive consultation with strong personalization and expertise ownership, though solution pitch includes some monologue blocks and generic company history."
04804ef5-2205-43eb-b55c-f574695db1bb,full_team_sell,booked,college_student,1538,9,9,23246,True,2,mostly_scripted,4,mostly_natural,2,mostly_scripted,4,mostly_natural,3,mixed,6.0,mixed,Expert demonstrates strong responsive discovery with personalized anchoring but reverts to scripted marketing language and monologue pacing during recommendation phase.
0d7decb5-0610-4353-a9cf-1616daa91238,full_team_sell,booked,k12_test_prep,2311,9,9,23133,True,2,mostly_scripted,3,mixed,2,mostly_scripted,4,mostly_natural,3,mixed,5.6,mixed,Charlotte delivers strong personalization and responsive discovery but falls into scripted language register and monologue-heavy pacing during company pitch and feature presentation.
134cf79e-4359-4acb-ba63-a2d9ef5002b6,expert_close,booked,k12_parent,1004,9,9,10725,False,4,mostly_natural,4,mostly_natural,2,mostly_scripted,5,natural,4,mostly_natural,7.6,mostly_natural,"Agent delivers highly personalized, responsive dialogue with conversational language but relies on monologue-heavy platform explanations in closing."
137816b6-26ea-41b1-bc8c-930d54cfff3e,full_team_sell,follow_up_scheduled,k12_test_prep,1062,8,9,13486,True,3,mixed,4,mostly_natural,2,mostly_scripted,4,mostly_natural,3,mixed,6.4,mostly_natural,"Expert demonstrates strong personalization and responsive discovery with conversational rapport, but shifts to extended monologue delivery during program explanation with mixed ownership signals."
158d9720-633d-4855-82b0-837f9203b9a8,expert_close,booked,k12_parent,1625,9,9,17212,False,4,mostly_natural,4,mostly_natural,3,mixed,5,natural,4,mostly_natural,8.0,mostly_natural,"Experienced educational coach delivering personalized consultation with natural rapport and strong content ownership, though platform presentation shows some structural scripting."
1a891d5c-e78e-4168-a518-acbe230c0871,expert_close,follow_up_scheduled,college_student,523,8,8,6892,True,2,mostly_scripted,3,mixed,1,scripted,4,mostly_natural,2,mostly_scripted,4.8,mixed,Eugene shows strong personalization to Eric's machine shop needs but delivers product information in scripted monologues with marketing language and reading cadence.
1b395270-e98a-46b4-8f61-2c507d9991a6,full_team_sell,objection_unresolved,k12_parent,957,8,8,15225,True,2,mostly_scripted,3,mixed,1,scripted,3,mixed,2,mostly_scripted,4.4,mixed,"Expert demonstrates some empathy and personalization but delivers predominantly scripted marketing language in monologue format, failing to adapt pitch when customer signals mismatch."
1c0f5394-0f96-49c4-ba73-0e4be47dc0a8,full_team_sell,booked,k12_parent,3209,9,9,37870,True,2,mostly_scripted,3,mixed,1,scripted,4,mostly_natural,3,mixed,5.2,mixed,"Stacey demonstrates strong personalization and moderate responsiveness but delivers company information in scripted, formal language through extended monologues with minimal dialogue pacing."
20190307-8a0a-42d6-a224-3204390e505d,full_team_sell,follow_up_scheduled,k12_parent,1368,9,9,21092,True,4,mostly_natural,4,mostly_natural,2,mostly_scripted,5,natural,4,mostly_natural,7.6,mostly_natural,"Expert delivered highly personalized, conversational consultation with strong anchoring and ownership, though pacing suffered from extended feature monologues."
